param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
163,distance,1,0.7525,578
162,distance,2,0.7525,578
201,distance,1,0.7525,578
162,distance,1,0.7525,578
194,distance,1,0.7525,578
160,distance,2,0.7525,578
170,distance,2,0.7525,578
161,distance,1,0.7525,578
111,distance,2,0.7525,578
121,uniform,2,0.7525,578
118,uniform,2,0.7525,578
127,distance,2,0.7525,578
128,distance,2,0.7525,578
117,uniform,2,0.7525,578
129,distance,2,0.7525,578
116,uniform,2,0.7525,578
136,distance,2,0.7525,578
79,uniform,1,0.7525,578
198,distance,1,0.7525,578
398,uniform,2,0.75125,621
399,uniform,1,0.75125,621
384,uniform,1,0.75125,621
383,distance,2,0.75125,621
383,uniform,2,0.75125,621
383,distance,1,0.75125,621
383,uniform,1,0.75125,621
382,distance,2,0.75125,621
382,uniform,2,0.75125,621
382,distance,1,0.75125,621
382,uniform,1,0.75125,621
381,distance,2,0.75125,621
381,uniform,2,0.75125,621
381,distance,1,0.75125,621
381,uniform,1,0.75125,621
380,distance,2,0.75125,621
380,uniform,2,0.75125,621
380,distance,1,0.75125,621
384,distance,1,0.75125,621
380,uniform,1,0.75125,621
384,uniform,2,0.75125,621
406,uniform,2,0.75125,621
388,uniform,2,0.75125,621
388,distance,1,0.75125,621
388,uniform,1,0.75125,621
387,distance,2,0.75125,621
387,uniform,2,0.75125,621
387,distance,1,0.75125,621
387,uniform,1,0.75125,621
386,distance,2,0.75125,621
386,uniform,2,0.75125,621
413,distance,1,0.75125,621
386,distance,1,0.75125,621
386,uniform,1,0.75125,621
385,distance,2,0.75125,621
406,distance,2,0.75125,621
385,uniform,2,0.75125,621
385,distance,1,0.75125,621
385,uniform,1,0.75125,621
384,distance,2,0.75125,621
379,distance,2,0.75125,621
379,uniform,2,0.75125,621
379,distance,1,0.75125,621
373,distance,2,0.75125,621
399,distance,1,0.75125,621
373,uniform,2,0.75125,621
411,distance,2,0.75125,621
373,distance,1,0.75125,621
373,uniform,1,0.75125,621
372,distance,2,0.75125,621
399,uniform,2,0.75125,621
372,uniform,2,0.75125,621
372,distance,1,0.75125,621
412,distance,1,0.75125,621
406,distance,1,0.75125,621
372,uniform,1,0.75125,621
406,uniform,1,0.75125,621
371,distance,2,0.75125,621
399,distance,2,0.75125,621
371,uniform,2,0.75125,621
374,uniform,1,0.75125,621
374,distance,1,0.75125,621
374,uniform,2,0.75125,621
374,distance,2,0.75125,621
379,uniform,1,0.75125,621
378,distance,2,0.75125,621
378,uniform,2,0.75125,621
378,distance,1,0.75125,621
378,uniform,1,0.75125,621
377,distance,2,0.75125,621
377,uniform,2,0.75125,621
377,distance,1,0.75125,621
388,distance,2,0.75125,621
377,uniform,1,0.75125,621
376,uniform,2,0.75125,621
376,distance,1,0.75125,621
376,uniform,1,0.75125,621
375,distance,2,0.75125,621
375,uniform,2,0.75125,621
375,distance,1,0.75125,621
375,uniform,1,0.75125,621
412,uniform,2,0.75125,621
376,distance,2,0.75125,621
412,distance,2,0.75125,621
389,uniform,1,0.75125,621
389,uniform,2,0.75125,621
402,uniform,1,0.75125,621
409,distance,2,0.75125,621
396,uniform,2,0.75125,621
409,uniform,2,0.75125,621
402,distance,1,0.75125,621
409,distance,1,0.75125,621
396,distance,1,0.75125,621
402,uniform,2,0.75125,621
396,uniform,1,0.75125,621
409,uniform,1,0.75125,621
395,distance,2,0.75125,621
395,uniform,2,0.75125,621
395,distance,1,0.75125,621
402,distance,2,0.75125,621
395,uniform,1,0.75125,621
394,distance,2,0.75125,621
394,uniform,2,0.75125,621
410,uniform,1,0.75125,621
